Artist,Album,Weight,Tags,Published
Bring Me the Horizon,Drown (Live from Maida Vale),33879890.47040636,,
Suicide Silence,Rare Ass Shit,33835461.23306866,,
Here Comes the Kraken,Demo 2008,31832007.402680285,,
Lorna Shore,Bone Kingdom,31823027.2215973,,
Aversions Crown,Aversions Crown,29328286.87772425,,
Impending Doom,The Sin and Doom Vol. II,28443241.4424983,,
Waking the Cadaver,Beyond Cops. Beyond God,26884444.628099173,,
Attila,Pizza,25954346.603920046,,
My Autumn,Demo`06,25939172.872340422,,
Attila,Soundtrack to a Party (Bonus),25903011.596234728,,
The Contortionist,Exoplanet (Remastered),23214000.53763441,,
Thy Art Is Murder,This Hole is Not Deep Enough,22741051.912568305,,
Killwhitneydead,Greatest Bloody Hits: A Decade Of Debauchery (2002-2012),22540785.52472859,,
Attila,Party With The Devil,22388661.668472372,,
Thy Art Is Murder,No Absolution,21997737.703131195,,
Bleed from Within,Death Walk,19559262.08530806,,
Bring Me the Horizon,Count Your Blessings (UK),18948580.1197438,,
Upon a Burning Body,Genocide,18935391.083676267,,
Suicide Silence,Demo 2004,18748029.52353942,,
We Butter the Bread With Butter,Misc. Songs,18567359.02140673,,
Annotations of an Autopsy,Dark Days EP,18550137.37864078,,
Attila,Three 6,18534954.855923157,,
Make Them Suffer,Ether,18506131.518713273,,
Make Them Suffer,Demo,17802517.618927766,,
Lorna Shore,Darkest Spawn,16874545.824800912,,
We Butter the Bread With Butter,Klicks. Likes. Fame. Geil!,16130439.796016548,,
Job for a Cowboy,Live Ruination,15953122.78887304,,
Job for a Cowboy,Live Ruination - EP,15953122.78887304,,
Bleed from Within,Welcome To The Plague Year [EP],15878212.180746563,,
Black Tongue,Born Hanged / Falsifier [Redux],15436970.949720673,,
Oceano,Demo,14966900.592105262,,
Veil of Maya,Phoenix,14349673.95482546,,
War from a Harlots Mouth,War From a Harlots Mouth/Burning Skies,14206336.484848486,,
Aversions Crown,The Breeding Process,13321480.735521568,,
Chelsea Grin,Music,13277100.887573965,,
Fit For An Autopsy,The Depression Sessions,12876358.142823474,,
Suicide Silence,Wake Up EP,12765932.307692308,,
Suicide Silence,Sacred Words,12630170.307293594,,
Here Comes the Kraken,Hate Greed & Death,12364717.33136386,,
Humanity's Last Breath,Reanimated By Hate,12334587.453874538,,
Animosity,Hellraiser [Demo EP],11703380.06430868,,
Veil of Maya,Overthrow,11663652.124911953,,
We Butter the Bread With Butter,Man’s Not Hot,11338502.772831341,,
Whitechapel,Brimstone,11318954.744097376,,
Whitechapel,Demo 2011,11166493.385214007,,
Upon a Burning Body,Red White Green,11099378.461538462,,
Chelsea Grin,Hostage,10943151.023594726,,
Arsonists Get All The Girls,Hits From the Bow (Reissue),10544002.183141297,,
Suicide Silence,Green Monster,9823064.828431373,,
Slaughter To Prevail,Misery Sermon [Explicit],9664375,,
Black Tongue,Born Hanged [EP],9633495.145631067,,
Shadow Of Intent,Barren and Breathless Macrocosm,9446614.66053557,,
Born of Osiris,Silence the Echo,9066313.102349661,,
Despised Icon,The Ills of Modern Man [Bonus DVD] [Deluxe Edition] Disc 1,8243279.012345678,,
Aversions Crown,Parasites,7425197.640014089,,
Upon a Burning Body,Punk Goes Pop 6,7295295.155709343,,
Chelsea Grin,Dead Rose,6862257.025796661,,
Thy Art Is Murder,Slaves Beyond Death,6806106.072957001,,
Attila,download,6726947.115384616,,
Chelsea Grin,Skin Deep,6587444.500314266,,
Betraying the Martyrs,The Great Disillusion,6585862.57827683,,
Attila,Blackout,6464805.531774778,,
Veil of Maya,Subject Zero,6288013.506781069,,
Attila,Proving Grounds,6023880.176613885,,
Annotations of an Autopsy,Dark Days,5622423.009063443,,
All Shall Perish,Demo,5477036.387782204,,
Despised Icon,Montreal Assault (Live),5475648.214285714,,
I Declare War,Songs for the Sick (Instrumental),5138169.014084507,,
War from a Harlots Mouth,Split EP (with Molotov Solution),5056947.161572052,,
Arsonists Get All The Girls,Demo,4932632.190942472,,
Suicide Silence,Cease to Exist,4877324.284511784,,
Thy Art Is Murder,The Son of Misery,4865567.949009788,,
We Butter the Bread With Butter,Mans Not Hot,4500274.053407732,,
Whitechapel,Demo 1,4332272.4,,
Born of Osiris,Follow The Signs [Single],4308008.333333334,,
Fit For An Autopsy,Black Mammoth,4293628.196417542,,
War from a Harlots Mouth,Pentagon.3,4275560.165975104,,
Molotov Solution,The Path To Extinction [EP],4245360.000000001,,
I Declare War,I Declare War (Bonus Track Version),4009335.0000000005,,
Chelsea Grin,Letters,3875160.9978540773,,
Veil of Maya,Doublespeak,3604631.4232902033,,
Attila,Still About It,3522187.749401436,,
Suicide Silence,No Time To Bleed - Single,3430672.189349113,,
Make Them Suffer,Make Them Suffer,3430448.120300752,,
We Butter the Bread With Butter,Wieder Geil,3330150,,
Aversions Crown,Overseer - Single,3073280.0000000005,,
Thy Art Is Murder,Reign of Darkness - Single,3052121.120689655,,
We Butter the Bread With Butter,Music,3040999.4082840234,,
Fit For An Autopsy,Heads Will Hang,2996017.604166667,,
Winds of Plague,Stronger Than All,2957996.4393482194,,
Attila,PAYBACK,2625488.3720930233,,
Aversions Crown,Hollow Planet,2254867.8391959798,,
Make Them Suffer,Maelstrom,2236880.653950954,,
Chelsea Grin,Recreant,2185244.5023148144,,
Thy Art Is Murder,Light Bearer,2113522.527794032,,
Animosity,Altered Beast,2072041.6666666665,,
Dr. Acula,Demo,2014811.4901256734,,
Chelsea Grin,Right Now (Cover),1846700.1114827204,,
Born of Osiris,Glorious Day,1818808.872810358,,
Winds of Plague,Never Alone,1811303.677130045,,
Waking the Cadaver,Demo 09,1759143.783783784,,
Upon a Burning Body,Punk Goes Pop Vol. 6,1712090.9774436087,,
Chelsea Grin,"Angels Shall Sin, Demons Shall Pray",1684571.52014652,,
Fit For An Autopsy,Iron Moon,1611981.8926296635,,
Betraying the Martyrs,The Hurt The Divine The Light [EP],1564457.142857143,,
Chelsea Grin,Playing With Fire,1357142.704149933,,
Attila,Hate Me,1341522.5806451614,,
Suicide Silence,Don't Die,1325770.6267539756,,
My Autumn,Oblivion Era (English),1321142.857142857,,
War from a Harlots Mouth,War from a Harlots Mouth / Burning Skies Split,1289160.5905006418,,
Chelsea Grin,Right Now (Korn Cover),1190769.2307692308,,
Veil of Maya,Veil Of Maya,1004134.6153846154,,
Chelsea Grin,Clockwork,862525.7095158597,,
