Artist,Album,Weight,Tags,Published
Fit for a King,Creation/Destruction,1044991015.0484151,,
Heaven Shall Burn,Asunder,1044672275.5635858,,
Killswitch Engage,Killswitch Engage [Special Edition],1034732040.9767276,,
Caliban,Vent,1020016049.1360976,,
Killswitch Engage,Atonement,1015995412.2437522,,
Breakdown of Sanity,The Last Sunset,1013128756.6935823,,
Bleeding Through,Bleeding Through,1011635089.9392741,,
The Devil Wears Prada,Zombie,1000144763.949159,,
Bleeding Through,The Great Fire,998006665.3762774,,
Killswitch Engage,The End of Heartache [Special Edition],996538963.9006693,,
After the Burial,Rareform (Reissue),989018363.8057063,,
Trivium,Silence In the Snow (Special Edition),983874068.4101775,,
Caliban,A Small Boy And A Grey Heaven,978346977.1111635,,
Caliban,Say Hello To The Tragedy,970112510.305958,,
Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Volume 1",934352568.2224065,,
Five Finger Death Punch,Got Your Six (Deluxe),897718614.280902,,
August Burns Red,Home,888708532.7409163,,
Stigmata,Acoustic & Drive,881923816.9284735,,
Heaven Shall Burn,Iconoclast (Part One: The Final Resistance),875357250.9607686,,
After the Burial,Dig Deep,850222525.470177,,
Bleeding Through,Portrait of the Goddess,847304043.5271336,,
Shadows Fall,Retribution,839673744.0488776,,
36 Crazyfists,In The Skin,822902778.062204,,
Trivium,Shogun [Limited Edition],819524414.0352913,,
Fit for a King,Slave To Nothing,771935744.1006951,,
Frontside,Zmierzch Bogów,731679983.419689,,
After the Burial,Forging A Future Self,729771744.0269998,,
Atreyu,Long Live,729530019.8056202,,
Dead by April,Worlds Collide,721664906.2314385,,
Protest the Hero,Palimpsest,715780757.7549493,,
Bullet for My Valentine,Fever (Tour Edition),712077735.2661598,,
The Devil Wears Prada,Patterns Of The Horizon,707074057.7774011,,
All That Remains,The Order of Things,706603460.5721422,,
Darkest Hour,Hidden Hands of a Sadist Nation,702885390.2484558,,
Lamb of God,Burn the Priest,701305899.374195,,
Five Finger Death Punch,A Decade Of Destruction,698715669.5961869,,
Demon Hunter,Extremist (Deluxe Edition),693590700.5825243,,
Miss May I,Rise of the Lion,690575069.6565596,,
Fit for a King,Descendants,685174936.2406651,,
The Acacia Strain,Death Is the Only Mortal,679327157.0337025,,
Motionless in White,When Love Met Destruction,673177508.4350377,,
Avenged Sevenfold,Warmness on the Soul,670428493.57511,,
Unearth,Watchers Of Rule,643838947.8534032,,
Shadows Fall,The Art Of Balance,627932189.9169981,,
August Burns Red,Phantom Anthem,615899730.0721334,,
Motionless in White,Creatures (Deluxe Edition),600206423.3932498,,
Miss May I,Deathless,573239567.2131147,,
August Burns Red,"August Burns Red Presents: Sleddin' Hill, A Holiday Album",562388981.3460139,,
Caliban,Elements,553792003.0397215,,
The Devil Wears Prada,8:18 (Japanese Edition),549496043.3174855,,
Bullet for My Valentine,Live At Brixton,548070829.0612704,,
Lamb of God,Ashes of the Wake (15th Anniversary),542924494.0924124,,
In This Moment,The Dream Ultraviolet Edition,540107142.8571429,,
The Agonist,Eye of Providence,513880540.56551075,,
The Devil Wears Prada,With Roots Above And Branches Below (Standard Edition),503771147.58047515,,
